7 14
1 2 13
1 3 14
1 6 10
1 7 25
2 5 17
2 6 30
3 4 21
3 5 36
3 6 19
3 7 26
4 6 32
4 7 31
5 7 22
6 7 20
1 6 120
10 20
1 2 14
1 3 30
1 4 13
1 9 22
1 10 25
2 4 12
2 9 15
3 7 30
3 8 17
3 10 32
4 5 21
4 6 36
4 7 26
5 7 19
5 8 19
5 9 31
5 10 22
7 10 12
8 9 39
9 10 20
1 8 99
9 15
1 2 35
1 6 39
1 7 26
1 8 16
1 9 39
2 4 13
2 7 15
2 9 24
3 7 28
4 5 19
4 7 38
4 8 24
6 8 17
6 9 33
8 9 27
1 3 100
15 29
1 2 35
1 12 26
2 3 38
2 7 29
2 10 39
2 11 37
2 13 16
2 14 39
2 15 24
3 6 13
3 7 30
3 12 15
3 13 26
4 8 13
4 9 26
4 14 28
6 10 22
6 11 38
7 8 19
7 12 26
7 14 24
8 9 37
9 11 30
9 12 17
10 11 14
10 14 33
10 15 37
12 14 39
12 15 15
3 10 200
100 500
1 9 37
1 13 37
1 21 38
1 70 24
1 77 36
1 87 16
2 9 27
2 11 18
2 50 38
2 52 15
2 64 37
2 69 10
2 73 11
2 74 34
2 81 21
2 97 19
3 19 21
3 21 32
3 27 29
3 37 19
3 73 27
3 74 32
3 76 26
3 95 25
4 8 35
4 33 32
4 51 25
4 57 30
4 71 38
4 83 13
4 90 10
4 91 38
5 9 27
5 15 14
5 30 31
5 32 22
5 57 25
5 60 27
5 70 25
5 71 18
5 98 17
5 99 24
6 12 39
6 14 22
6 18 16
6 30 24
6 31 11
6 60 28
6 91 33
6 92 21
6 93 15
6 94 39
6 97 21
7 16 32
7 59 12
7 67 14
7 76 14
7 78 36
7 88 22
7 98 25
7 99 39
7 100 27
8 35 13
8 47 32
8 53 34
8 65 37
8 75 11
8 81 35
8 90 39
8 93 12
8 95 15
9 11 30
9 14 18
9 40 18
9 46 18
9 62 12
9 68 34
9 76 37
9 77 33
9 81 16
9 91 37
9 94 27
10 51 26
10 52 36
10 53 33
10 80 20
11 12 39
11 13 15
11 14 38
11 15 20
11 16 25
11 17 38
11 19 20
11 25 24
11 42 29
11 51 36
11 65 39
11 66 32
11 80 14
11 90 20
11 95 37
12 13 28
12 14 14
12 21 34
12 76 29
12 84 32
12 95 24
